supplierName,website,catalogUrl,coverage,publicCatalogStatus,ingestionStatus,sourceType,notes,lastChecked
Medstom KZ,https://medstom.kz/,https://medstom.kz/catalog,стоматологические материалы и оборудование,READY,IMPORTED_341,HTML_TILDA_API,341 карточка сохранена как канонический DRAFT; следующий шаг — поставщикский импорт цены и остатков,2026-07-17
KazDentService,https://kazdentservice.kz/,https://kazdentservice.kz/product_list,оборудование материалы CAD-CAM стерилизация,READY,IMPORTED_21,HTML_PUBLIC_CATALOG,21 публичная карточка сохранена как канонический DRAFT; 21 строка пройдена через боевой XLSX-сценарий,2026-07-17
Joseph Company,https://joseph-company.kz/,https://joseph-company.kz/,оборудование и биоматериалы,REVIEW_REQUIRED,QUEUED,HTML_CONTACT_REQUIRED,Публичный сайт подтверждён; машинный каталог не найден, нужен прайс или API от поставщика,2026-07-17
LIRA Medical Group,https://dent-materials.kz/,https://dent-materials.kz/catalog,имплантация ортодонтия биоматериалы CAD-CAM,REVIEW_REQUIRED,QUEUED,HTML_DYNAMIC_CATALOG,На сайте заявлено 14000+ SKU; карточки подгружаются динамически, нужен экспорт поставщика,2026-07-17
IMS,https://ims.kz/,https://ims.kz/,стоматологические материалы и оборудование,REVIEW_REQUIRED,QUEUED,HTML_CONTACT_REQUIRED,Крупный дистрибьютор; в очередь на запрос XLSX/PDF/EDI,2026-07-17
Unident,https://unident.kz/,https://unident.kz/,стоматологические материалы и оборудование,REVIEW_REQUIRED,QUEUED,HTML_CONTACT_REQUIRED,Кандидат на подключение; в очередь на запрос каталога,2026-07-17
Ordamed,https://ordamed.com/kz/,https://ordamed.com/kz/catalog/stomatologiya/,стоматологическое оборудование и расходники,REVIEW_REQUIRED,QUEUED,HTML_PUBLIC_CATALOG,Публичный каталог доступен; требуется нормализация и проверка юрлица перед импортом,2026-07-17
KulimSnab,https://kulimsnab.kz/,https://kulimsnab.kz/,стоматологические материалы и оборудование,REVIEW_REQUIRED,QUEUED,HTML_CONTACT_REQUIRED,Кандидат на подключение; в очередь на запрос прайс-листа,2026-07-17
DentalShop Kazakhstan,https://dentalshopkazakhstan.com/,https://dentalshopkazakhstan.com/,стоматологические материалы,REVIEW_REQUIRED,QUEUED,HTML_CONTACT_REQUIRED,Кандидат на подключение; в очередь на запрос прайс-листа,2026-07-17
Stomtech,https://stomtech.kz/,https://stomtech.kz/,стоматологическое оборудование,REVIEW_REQUIRED,QUEUED,HTML_CONTACT_REQUIRED,Кандидат на подключение; в очередь на запрос прайс-листа,2026-07-17
AllForDent,https://a4d.kz/,https://a4d.kz/products,стоматологические материалы инструменты оборудование эндодонтия ортодонтия профилактика,READY,IMPORTED_940,HTML_PUBLIC_CATALOG,940 уникальных публичных карточек сохранены как канонические DRAFT-карточки; цена наличие и регистрационные документы требуют подтверждения поставщиком,2026-07-17
Nord Stom,https://nordstom.kz/,https://nordstom.kz/,материалы оборудование ортодонтия эндодонтия стерилизация,READY,IMPORTED_50,HTML_PUBLIC_CATALOG,50 публичных товарных позиций сохранены как канонические DRAFT-карточки; цены и остатки поставщика не импортировались,2026-07-17
AMDgroup,https://amdgroup.kz/,https://amdgroup.kz/catalog/materialy_/,материалы оборудование имплантация терапия эндодонтия дезинфекция,READY,IMPORTED_45,HTML_PUBLIC_CATALOG,45 публичных товарных позиций сохранены как канонические DRAFT-карточки; цены и остатки поставщика не импортировались,2026-07-17
СТОМир,https://stomir.kz/,https://stomir.kz/,терапия ортодонтия эндодонтия хирургия зуботехника расходные материалы,READY,IMPORTED_35,HTML_PUBLIC_CATALOG,35 публичных товарных позиций сохранены как канонические DRAFT-карточки; цены и остатки поставщика не импортировались,2026-07-17
Proteco Asia,https://proteco.kz/,https://proteco.kz/,Tokuyama Dental материалы и обучение,OFFICIAL_PARTNER_REVIEW,DISCOVERY,PARTNER_SELF_DECLARATION,Заявляет статус официального импортёра Tokuyama Dental в Казахстане; до публикации статуса требуется подтверждение производителя,2026-07-22
LUCH LLP,https://luch.asia/,https://luch.asia/,NSK Solventum Ivoclar Kerr материалы и оборудование,OFFICIAL_PARTNER_CONFIRMED,DISCOVERY,MANUFACTURER_DIRECTORY,Указан в официальных каталогах NSK Solventum и Ivoclar; запись Kerr требует отдельной ручной проверки,2026-07-22
Stomed,https://medsales.kz/,https://medsales.kz/,NSK оборудование и наконечники,OFFICIAL_PARTNER_CONFIRMED,DISCOVERY,MANUFACTURER_DIRECTORY,Указан производителем NSK как дилер в Казахстане,2026-07-22
Astra Medical,https://www.adent.kz/,https://www.adent.kz/,Planmeca NSK оборудование и цифровая стоматология,OFFICIAL_PARTNER_CONFIRMED,DISCOVERY,MANUFACTURER_DIRECTORY,Указан в каталогах Planmeca и NSK для Казахстана,2026-07-22
HELIY LLP,https://heliy.kz/,https://heliy.kz/,Solventum стоматологические материалы,OFFICIAL_PARTNER_CONFIRMED,DISCOVERY,MANUFACTURER_DIRECTORY,Указан Solventum как стоматологический дистрибьютор в Казахстане,2026-07-22
VITIME LLP,,,Solventum стоматологические материалы,OFFICIAL_PARTNER_CONFIRMED,CONTACT_REQUIRED,MANUFACTURER_DIRECTORY,Указан Solventum как стоматологический дистрибьютор в Казахстане; сайт и публичный каталог не найдены,2026-07-22
IVO-HANDELS KZ,https://www.ivohandels.com/,https://www.ivohandels.com/,Ivoclar материалы CAD-CAM и лаборатория,OFFICIAL_PARTNER_CONFIRMED,DISCOVERY,MANUFACTURER_DIRECTORY,Указан в официальном каталоге дистрибьюторов Ivoclar,2026-07-22
Ident LLC,,,Ivoclar стоматологические материалы,OFFICIAL_PARTNER_CONFIRMED,CONTACT_REQUIRED,MANUFACTURER_DIRECTORY,Указан в официальном каталоге дистрибьюторов Ivoclar; контактные данные требуют уточнения,2026-07-22
