priority,brand,manufacturer,currentCards,canonicalProductName,category,productType,officialProductUrl,kzPartnerCandidates,evidenceStatus,contentStatus,imageStatus,offerStatus,notes
1,Planmeca,Planmeca Oy,1,Planmeca Compact i5,Стоматологические установки,equipment,https://www.planmeca.com/dental-units/planmeca-compact-i5/,LLP Astra Medical,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Create one model card and attach seller offers later
1,Planmeca,Planmeca Oy,1,Planmeca Pro50,Стоматологические установки,equipment,https://www.planmeca.com/dental-units/,LLP Astra Medical,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Configuration belongs in variants and attributes
1,Planmeca,Planmeca Oy,1,Planmeca Viso G3,Рентгеновское оборудование,equipment,https://www.planmeca.com/dental-imaging/cbct-machines/,LLP Astra Medical,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Do not merge with ProMax family
1,Planmeca,Planmeca Oy,1,Planmeca ProMax 2D,Рентгеновское оборудование,equipment,https://www.planmeca.com/dental-imaging/panoramic-machines/,LLP Astra Medical,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Panoramic system
1,Planmeca,Planmeca Oy,1,Planmeca Emerald S,Интраоральные сканеры,equipment,https://www.planmeca.com/cadcam/dental-scanning/planmeca-emerald-s/,LLP Astra Medical,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Keep scanner packages as offers or variants
1,Planmeca,Planmeca Oy,1,Planmeca PlanMill 35,Фрезерные системы,equipment,https://www.planmeca.com/cadcam/dental-milling-machines/,LLP Astra Medical,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Exact configuration requires dealer confirmation
1,NSK,Nakanishi Inc.,0,NSK Ti-Max Z990,Турбинные наконечники,equipment,https://www.japan.nsk-dental.com/products/turbines/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Connector variants must not become duplicate model cards
1,NSK,Nakanishi Inc.,0,NSK S-Max M900,Турбинные наконечники,equipment,https://www.japan.nsk-dental.com/products/turbines/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Use exact SKU only after offer confirmation
1,NSK,Nakanishi Inc.,0,NSK Varios 970,Ультразвуковые скалеры,equipment,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-varios/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Light and non-light sets are variants
1,NSK,Nakanishi Inc.,0,NSK Varios Combi Pro2,Профилактическое оборудование,equipment,https://www.japan.nsk-dental.com/products/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Combined scaler and powder maintenance system
