source,supplierName,sourceUrl,externalId,name,brand,manufacturer,category,unit,currency,price,quantity,catalogOnly,description
planmeca-official,Planmeca,https://www.planmeca.com/dental-units/planmeca-compact-i5/,planmeca-compact-i5,Planmeca Compact i5,Planmeca,Planmeca Oy,Стоматологические установки,шт,,,,true,Стоматологическая установка для ежедневной работы клиники. Конфигурацию инструментов и дополнительные модули можно выбрать у продавца.
planmeca-official,Planmeca,https://www.planmeca.com/dental-units/planmeca-pro50-dental-unit/,planmeca-pro50,Planmeca Pro50,Planmeca,Planmeca Oy,Стоматологические установки,шт,,,,true,Стоматологическая установка с настраиваемой комплектацией рабочего места врача. Цена зависит от выбранных инструментов и оснащения.
planmeca-official,Planmeca,https://www.planmeca.com/dental-imaging/cbct-machines/planmeca-viso-g3/,planmeca-viso-g3,Planmeca Viso G3,Planmeca,Planmeca Oy,Рентгеновское оборудование,шт,,,,true,Трёхмерная рентгеновская система для диагностики и планирования лечения. Комплектацию и программные модули указывает продавец.
planmeca-official,Planmeca,https://www.planmeca.com/dental-imaging/panoramic-machines/planmeca-promax-2d/,planmeca-promax-2d,Planmeca ProMax 2D,Planmeca,Planmeca Oy,Рентгеновское оборудование,шт,,,,true,Панорамная рентгеновская система для снимков зубочелюстной области. Доступные программы съёмки зависят от комплектации.
planmeca-official,Planmeca,https://www.planmeca.com/cadcam-dentistry/intraoral-scanners/planmeca-emerald-s/,planmeca-emerald-s,Planmeca Emerald S,Planmeca,Planmeca Oy,Интраоральные сканеры,шт,,,,true,Интраоральный сканер для получения цифровых оттисков. Состав комплекта и программное обеспечение уточняются в предложении продавца.
planmeca-official,Planmeca,https://www.planmeca.com/cadcam-dentistry/dental-milling-machines/planmeca-planmill-35/,planmeca-planmill-35,Planmeca PlanMill 35,Planmeca,Planmeca Oy,Фрезерные системы,шт,,,,true,Фрезерная система для изготовления стоматологических реставраций. Поддерживаемые материалы и состав комплекта зависят от конфигурации.
nsk-official,NSK,https://www.japan.nsk-dental.com/products/turbines/turbines-ti-max_z990_z890/,nsk-ti-max-z990,NSK Ti-Max Z990,NSK,Nakanishi Inc.,Турбинные наконечники,шт,,,,true,Турбинный наконечник премиальной серии NSK. Тип соединения и наличие подсветки выбираются в варианте товара.
nsk-official,NSK,https://www.japan.nsk-dental.com/products/turbines/turbines-s-max_m/,nsk-s-max-m900,NSK S-Max M900,NSK,Nakanishi Inc.,Турбинные наконечники,шт,,,,true,Турбинный наконечник NSK для терапевтического приёма. Варианты отличаются типом соединения и комплектацией.
nsk-official,NSK,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-varios/,nsk-varios-970,NSK Varios 970,NSK,Nakanishi Inc.,Ультразвуковые скалеры,шт,,,,true,Ультразвуковой скалер с двумя ёмкостями для растворов. Версии с подсветкой и без неё учитываются как варианты одной модели.
nsk-official,NSK,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-vcp-2/,nsk-varios-combi-pro2,NSK Varios Combi Pro2,NSK,Nakanishi Inc.,Профилактическое оборудование,шт,,,,true,Система для ультразвуковой обработки и порошковой профилактики. Наборы Prophy и Perio указываются в предложениях продавцов.
nsk-official,NSK,https://www.japan.nsk-dental.com/products/surgical/surgical-surgicpro2/?simply_static_page=1041550,nsk-surgic-pro2,NSK Surgic Pro2,NSK,Nakanishi Inc.,Хирургические моторы,шт,,,,true,Хирургическая моторная система для имплантологии и челюстно-лицевой хирургии. Наконечники и состав набора зависят от комплектации.
nsk-official,NSK,https://www.japan.nsk-dental.com/products/surgical/surgical-variosurg4/,nsk-variosurg-4,NSK VarioSurg 4,NSK,Nakanishi Inc.,Пьезохирургические аппараты,шт,,,,true,Пьезохирургическая система для работы с костной тканью. Насадки и дополнительные принадлежности выбираются отдельно.
nsk-official,NSK,https://www.japan.nsk-dental.com/products/endodontics/endo-endomate_tc2/,nsk-endo-mate-tc2,NSK ENDO-MATE TC2,NSK,Nakanishi Inc.,Эндодонтические моторы,шт,,,,true,Беспроводной эндодонтический мотор для обработки корневых каналов. Тип головки и комплект поставки уточняются у продавца.
nsk-official,NSK,https://www.japan.nsk-dental.com/products/endodontics/endo-ipex2/,nsk-ipex-ii,NSK iPex II,NSK,Nakanishi Inc.,Апекслокаторы,шт,,,,true,Апекслокатор для определения рабочей длины корневого канала. Карточка объединяет предложения продавцов по одной модели.
nsk-official,NSK,https://www.japan.nsk-dental.com/products/hygiene_and_maintenance/maintenace-icare/,nsk-icare,NSK iCare,NSK,Nakanishi Inc.,Уход за наконечниками,шт,,,,true,Автоматическая система для смазки и обслуживания стоматологических наконечников. Количество портов указывается в варианте товара.
ivoclar-official,Ivoclar,https://www.ivoclar.com/en_us/products/composites/tetric-prime,ivoclar-tetric-prime,Ivoclar Tetric Prime,Ivoclar,Ivoclar Vivadent AG,Композитные материалы,шт,,,,true,Универсальный композит для прямых реставраций передних и боковых зубов. Оттенок и фасовка выбираются в варианте товара.
ivoclar-official,Ivoclar,https://www.ivoclar.com/fr_fr/products/cementation/variolink-esthetic,ivoclar-variolink-esthetic,Ivoclar Variolink Esthetic,Ivoclar,Ivoclar Vivadent AG,Стоматологические цементы,шт,,,,true,Композитный цемент для фиксации непрямых реставраций. Варианты отличаются способом отверждения оттенком и комплектацией.
tokuyama-official,Tokuyama Dental,https://tokuyama-dental.com/products/composites/universal/palfique-omnichroma/,tokuyama-palfique-omnichroma,Tokuyama Palfique Omnichroma,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Универсальный композит с единым основным оттенком для прямых реставраций. Фасовка и дополнительные материалы указываются отдельно.
tokuyama-official,Tokuyama Dental,https://tokuyama-dental.com/products/composites/universal/estelite-posterior/,tokuyama-estelite-posterior,Tokuyama Estelite Posterior,Tokuyama Dental,Tokuyama Dental Corporation,Композитные материалы,шт,,,,true,Композит для реставраций боковых зубов. Оттенки PA1 PA2 PA3 и PCE представлены вариантами одной модели.
tokuyama-official,Tokuyama Dental,https://tokuyama-dental.com/products/bonding-agents/self-etching_bonding_system/palfique-universal-bond/,tokuyama-palfique-universal-bond,Tokuyama Palfique Universal Bond,Tokuyama Dental,Tokuyama Dental Corporation,Адгезивные системы,шт,,,,true,Универсальная двухкомпонентная адгезивная система для прямых и непрямых реставраций. Фасовку уточняет продавец.
tokuyama-official,Tokuyama Dental,https://tokuyama-dental.com/products/oral-care/sealant-desensitizer/tokuyama-shield-force-plus/,tokuyama-shield-force-plus,Tokuyama Shield Force Plus,Tokuyama Dental,Tokuyama Dental Corporation,Десенситайзеры,шт,,,,true,Материал для снижения чувствительности дентина и защиты обработанной поверхности. Комплектация указывается в предложении продавца.
